   5.68   18.42  -5.97
   4.18   15.56  -4.21
   3.59   14.27  -3.51
   3.09   13.08  -2.88
   2.49   11.75  -2.08
   2.22   11.01  -1.74
   1.97   10.08  -1.45
   1.85    9.44  -1.28
   1.70    8.64  -1.08
   1.45    7.76  -0.79
   1.17    6.90  -0.57
   0.96    6.13  -0.39
   0.84    5.48  -0.29
   0.78    4.93  -0.22
   0.71    4.41  -0.19
   0.63    3.96  -0.16
   0.52    3.56  -0.13
   0.46    3.21  -0.11
   0.39    2.88  -0.10
   0.29    2.60  -0.11
   0.22    2.36  -0.13
   0.10    2.15  -0.16
   0.06    1.96  -0.19
  -0.02    1.71  -0.36
  -0.06    1.33  -0.54
  -0.07    1.11  -0.64
  -0.09    0.80  -0.78
  -0.09    0.42  -1.03
  -0.09    0.13  -1.28
  -0.12   -0.42  -1.62
